0,17.57.144.103,0,248,171046.0,689.7016129032259,519.2792225432677,81.4475806451613,435.68772720758153
0,10.201.71.149,0,10775,3865737.0,358.7690951276102,448.4931663167499,1.8748955916473318,62.43687363084577
0,140.82.112.6,0,12,2646.0,220.5,217.3746765379997,0.0,0.0
0,170.114.3.13,0,20,13044.0,652.2,401.41880872724437,0.0,0.0
0,108.177.121.108,0,343,32972.0,96.12827988338192,102.26679159827518,0.2099125364431487,2.9902106058886195
0,3.17.45.182,0,107,18975.0,177.33644859813083,291.77401138248877,0.8598130841121495,2.115579053455009
0,34.120.52.64,0,26,5960.0,229.23076923076923,257.3117396485181,180.5,882.5447144915225
0,140.82.112.25,0,5,2245.0,449.0,387.9778344184111,12.0,24.0
0,17.57.154.24,0,44,6629.0,150.6590909090909,171.5331856551138,391.15909090909093,1794.4452414855361
0,142.250.72.3,0,20,2421.0,121.05,186.17450819056836,2.85,8.58647191808137
0,108.177.121.109,0,30,6045.0,201.5,309.0112996855185,0.06666666666666667,0.24944382578492943
0,192.178.49.163,0,14,3207.0,229.07142857142858,338.23986929939747,4.785714285714286,17.255138246863375
0,52.14.14.157,0,38,9877.0,259.92105263157896,218.73420322859857,238.47368421052633,1011.3114137708864
0,18.221.229.81,0,5,1134.0,226.8,205.72350376172383,0.0,0.0
0,170.114.2.96,0,37,9688.0,261.8378378378378,151.878776965784,2.4594594594594597,7.4019522428284565
0,162.125.21.3,0,83,54666.0,658.6265060240963,549.8512550416929,207.36144578313252,1114.538281173114
0,142.250.72.46,0,106,83994.0,792.3962264150944,535.899485070631,44.301886792452834,451.2296651940752
0,10.201.79.218,0,6,3554.0,592.3333333333334,493.2047129629733,779.6666666666666,1713.4968793539006
0,172.20.8.6,0,424,124975.0,294.75235849056605,103.78414416153934,11.01179245283019,222.11255720576722
0,172.20.132.6,0,157,59456.0,378.70063694267515,179.50702006988857,0.4840764331210191,3.796755395803007
0,173.194.74.188,0,3,791.0,263.6666666666667,188.78971252575062,0.0,0.0
0,54.224.241.105,0,17,7978.0,469.29411764705884,453.78976276347106,1012.4117647058823,2295.569955084166
0,142.250.72.78,0,8,2287.0,285.875,309.4755392191764,583.5,1543.7958900061885
0,170.114.15.220,0,3,1740.0,580.0,425.6908111137315,0.0,0.0
0,170.114.52.2,0,26,13793.0,530.5,457.6640731433415,661.9615384615385,2534.386080732969
0,162.125.8.19,0,19,3616.0,190.31578947368422,226.18112272470555,905.8421052631579,2630.4408128308255
0,142.250.72.34,0,4,1182.0,295.5,221.5,0.0,0.0
0,198.59.55.202,0,9,1590.0,176.66666666666666,61.26626768096418,1006.8888888888889,1884.9735302853842
0,17.248.195.72,0,67,24700.0,368.65671641791045,437.368438290989,135.26865671641792,770.1311495615934
0,40.99.165.98,0,187,174763.0,934.5614973262032,474.52864337556514,25.074866310160427,337.2214632117159
0,23.37.96.20,0,14,6791.0,485.07142857142856,469.2911773980771,0.2857142857142857,1.0301575072754254
0,17.248.195.129,0,16,4681.0,292.5625,283.86505789503224,566.4375,2184.519997869955
0,10.201.55.217,0,3,1777.0,592.3333333333334,493.2047129629733,22.0,31.11269837220809
0,10.201.50.45,0,6,5205.0,867.5,370.5,2868.3333333333335,4064.7844414624933
0,10.201.55.64,0,2,1735.0,867.5,370.5,0.0,0.0
0,54.68.237.113,0,13,7858.0,604.4615384615385,413.2982933547401,696.6923076923077,1634.871031592654
0,172.20.60.182,0,136,41800.0,307.3529411764706,200.19235343464652,34.580882352941174,392.7998958298326
0,128.138.240.14,0,36,26164.0,726.7777777777778,443.03881891063276,129.69444444444446,755.8686621454684
0,17.120.252.48,0,25,13858.0,554.32,519.563795505422,362.36,1220.0695350675715
0,23.222.27.28,0,14,6455.0,461.07142857142856,515.662052162864,647.0714285714286,2332.771878636036
0,23.222.27.25,0,6,3309.0,551.5,509.41952259409925,0.0,0.0
0,128.138.184.11,0,6,2334.0,389.0,0.0,1509.3333333333333,2107.0358062664454
0,10.201.54.132,0,3,123.0,41.0,0.0,19.0,14.7648230602334
0,162.125.21.2,0,45,39876.0,886.1333333333333,510.5562804976113,104.02222222222223,680.7198310575812
0,40.99.165.66,0,24,17337.0,722.375,502.8130710065123,0.041666666666666664,0.19982631347136334
0,17.248.195.66,0,65,27283.0,419.73846153846154,427.0936224844196,139.12307692307692,780.5904571381512
0,142.250.72.74,0,12,3559.0,296.5833333333333,359.3752584540133,389.5,1285.2050095866678
0,54.71.177.201,0,32,10216.0,319.25,354.1090933596594,146.15625,799.9740272883473
0,10.233.25.42,0,5,4708.0,941.6,363.014379880467,9.0,18.0
0,10.232.212.125,0,1,41.0,41.0,0.0,0.0,0.0
0,18.232.19.173,0,4,2564.0,641.0,399.61669134309193,0.25,0.4330127018922193
0,170.114.14.72,0,5,1892.0,378.4,282.9131315439423,0.0,0.0
0,170.114.8.54,0,4,2063.0,515.75,444.6388281515684,0.25,0.4330127018922193
0,10.201.31.55,0,2,1735.0,867.5,370.5,0.0,0.0
0,10.201.65.255,0,2,82.0,41.0,0.0,11.5,11.5
0,23.45.84.175,0,3,943.0,314.3333333333333,159.9465188395449,0.0,0.0
0,142.250.72.42,0,4,1513.0,378.25,196.34965622582587,1160.0,2009.1789367798976
0,10.201.79.131,0,2,82.0,41.0,0.0,8.0,8.0
0,34.203.175.187,0,1,517.0,517.0,0.0,0.0,0.0
0,52.22.119.135,0,5,2119.0,423.8,442.5649782800262,0.0,0.0
0,192.229.211.108,0,4,1398.0,349.5,2.179449471770337,2250.5,2242.549720741995
